Favorite_Count,Favorited,Hashtags,Replied,Retweet_Count,Retweeted,Screen_Name,Tweet_Coordinates,Tweet_Created_At,Tweet_Place,Tweet_Text,Tweet_URL,User_Location,User_Name,index,lat,long,keyword
0,False,[],None,0,False,MarkWelkie,None,2019-11-21 15:44:10,None,"Mankind's first upright bipedal steps 4.4 million years ago. 
""To reach more food, you've got to let go.""… https://t.co/iIDJP3KzJP","[{'url': 'https://t.co/iIDJP3KzJP', 'expanded_url': 'https://twitter.com/i/web/status/1197662016665731072', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [107, 130]}]","Enola, PA",Temporal Latitudes🌹🇺🇸🌎🕊🦖🔥🖋🎼🧠👀❤☮,63,40.2853013,-76.9358463,#feelthebern
0,False,"[{'text': 'Follow', 'indices': [38, 45]}, {'text': 'Support', 'indices': [46, 54]}, {'text': 'Bernie2020', 'indices': [58, 69]}, {'text': 'FeelTheBern', 'indices': [70, 82]}, {'text': 'SupportOurRevolution', 'indices': [83, 104]}, {'text': 'NotMeUS', 'indices': [105, 113]}]",None,0,False,MarkWelkie,None,2019-11-21 12:37:20,None,".@CaliBerner ⬅️ Now following 
Please #Follow #Support ⬇️
#Bernie2020 #FeelTheBern #SupportOurRevolution #NotMeUS… https://t.co/2RxHu7UfSt","[{'url': 'https://t.co/2RxHu7UfSt', 'expanded_url': 'https://twitter.com/i/web/status/1197614998484336641', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]","Enola, PA",Temporal Latitudes🌹🇺🇸🌎🕊🦖🔥🖋🎼🧠👀❤☮,63,40.2853013,-76.9358463,#feelthebern
1,False,"[{'text': 'Follow', 'indices': [40, 47]}, {'text': 'Support', 'indices': [48, 56]}, {'text': 'Bernie2020', 'indices': [60, 71]}, {'text': 'FeelTheBern', 'indices': [72, 84]}, {'text': 'JoinOurRevolution', 'indices': [85, 103]}, {'text': 'NotMeUS', 'indices': [104, 112]}]",None,0,False,MarkWelkie,None,2019-11-21 12:34:09,None,".@ginalynnryan ⬅️ Now following 
Please #Follow #Support ⬇️
#Bernie2020 #FeelTheBern #JoinOurRevolution #NotMeUS… https://t.co/OQkbPwMsIp","[{'url': 'https://t.co/OQkbPwMsIp', 'expanded_url': 'https://twitter.com/i/web/status/1197614195208081414', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]","Enola, PA",Temporal Latitudes🌹🇺🇸🌎🕊🦖🔥🖋🎼🧠👀❤☮,63,40.2853013,-76.9358463,#feelthebern
0,False,[],None,0,False,MarkWelkie,None,2019-11-21 11:56:26,None,"This is one reason why we need *tens* of millions, not just millions. We need so many that they just don't dare.… https://t.co/MYvzAUMNQl","[{'url': 'https://t.co/MYvzAUMNQl', 'expanded_url': 'https://twitter.com/i/web/status/1197604703829471232', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]","Enola, PA",Temporal Latitudes🌹🇺🇸🌎🕊🦖🔥🖋🎼🧠👀❤☮,63,40.2853013,-76.9358463,#feelthebern
0,False,"[{'text': 'Bernie2020', 'indices': [20, 31]}, {'text': 'FeelTheBern', 'indices': [32, 44]}, {'text': 'JoinOurRevolution', 'indices': [45, 63]}, {'text': 'NotMeUS', 'indices': [64, 72]}, {'text': 'M4A', 'indices': [73, 77]}, {'text': 'NoMiddleGround', 'indices': [78, 93]}, {'text': 'AllOfUsTogether', 'indices': [94, 110]}]",1197600503510786048,1,False,MarkWelkie,None,2019-11-21 11:41:07,None,"Thanks to all! ✊🏼😘💯
#Bernie2020 #FeelTheBern #JoinOurRevolution #NotMeUS #M4A #NoMiddleGround #AllOfUsTogether… https://t.co/4HAyB2Y3ha","[{'url': 'https://t.co/4HAyB2Y3ha', 'expanded_url': 'https://twitter.com/i/web/status/1197600848630702085', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]","Enola, PA",Temporal Latitudes🌹🇺🇸🌎🕊🦖🔥🖋🎼🧠👀❤☮,63,40.2853013,-76.9358463,#feelthebern
0,False,[],None,0,False,MarkWelkie,None,2019-11-21 11:37:49,None,"365 million years ago, we poked our heads out of the water and pulled our bodies up onto dry land - and changed the… https://t.co/7SxJV9Fyn0","[{'url': 'https://t.co/7SxJV9Fyn0', 'expanded_url': 'https://twitter.com/i/web/status/1197600017860759553', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]","Enola, PA",Temporal Latitudes🌹🇺🇸🌎🕊🦖🔥🖋🎼🧠👀❤☮,63,40.2853013,-76.9358463,#feelthebern
1,False,"[{'text': 'Follow', 'indices': [38, 45]}, {'text': 'Support', 'indices': [46, 54]}, {'text': 'Bernie2020', 'indices': [59, 70]}, {'text': 'FeelTheBern', 'indices': [71, 83]}, {'text': 'SupportOurRevolution', 'indices': [84, 105]}, {'text': 'NotMeUS', 'indices': [106, 114]}]",None,0,False,MarkWelkie,None,2019-11-21 09:09:50,None,".@StatesUnity ⬅️ Now following
Please #Follow #Support ⬇️

#Bernie2020 #FeelTheBern #SupportOurRevolution #NotMeUS… https://t.co/G08naucWgx","[{'url': 'https://t.co/G08naucWgx', 'expanded_url': 'https://twitter.com/i/web/status/1197562779659624448', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]","Enola, PA",Temporal Latitudes🌹🇺🇸🌎🕊🦖🔥🖋🎼🧠👀❤☮,63,40.2853013,-76.9358463,#feelthebern
0,False,[],None,0,False,MarkWelkie,None,2019-11-22 14:14:15,None,.@MSNBC please explain why Pete Buttigieg spoke longer than Bernie Sanders during last night's debate. .… https://t.co/geonNsB94W,"[{'url': 'https://t.co/geonNsB94W', 'expanded_url': 'https://twitter.com/i/web/status/1198001773262376966', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [106, 129]}]","Enola, PA",Temporal Latitudes🌹🇺🇸🌎🕊🦖🔥🖋🎼🧠👀❤☮,63,40.2853013,-76.9358463,#feelthebern
0,False,"[{'text': 'Follow', 'indices': [42, 49]}, {'text': 'Support', 'indices': [50, 58]}, {'text': 'Bernie2020', 'indices': [62, 73]}, {'text': 'FeelTheBern', 'indices': [74, 86]}, {'text': 'JoinOurRevolution', 'indices': [87, 105]}, {'text': 'NotMeUS', 'indices': [106, 114]}]",None,0,False,MarkWelkie,None,2019-11-23 15:22:40,None,".@DonWinslow01 ⬅️ Now Following ⬅️
Please #Follow #Support ⬇️
#Bernie2020 #FeelTheBern #JoinOurRevolution #NotMeUS… https://t.co/xXj6CfX7Fo","[{'url': 'https://t.co/xXj6CfX7Fo', 'expanded_url': 'https://twitter.com/i/web/status/1198381381950287873', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]","Enola, PA",Temporal Latitudes🌹🇺🇸🌎🕊🦖🔥🖋🎼🧠👀❤☮,63,40.2853013,-76.9358463,#feelthebern
0,False,"[{'text': 'Bernie2020', 'indices': [37, 48]}, {'text': 'FeelTheBern', 'indices': [49, 61]}, {'text': 'JoinOurRevolution', 'indices': [62, 80]}, {'text': 'NotMeUS', 'indices': [81, 89]}, {'text': 'M4A', 'indices': [90, 94]}, {'text': 'NoMiddleGround', 'indices': [95, 110]}]",None,0,False,MarkWelkie,None,2019-11-23 07:09:40,None,"A few things on Bernie's agenda... 👀
#Bernie2020 #FeelTheBern #JoinOurRevolution #NotMeUS #M4A #NoMiddleGround… https://t.co/NtdTsHjLLV","[{'url': 'https://t.co/NtdTsHjLLV', 'expanded_url': 'https://twitter.com/i/web/status/1198257311556493312', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]","Enola, PA",Temporal Latitudes🌹🇺🇸🌎🕊🦖🔥🖋🎼🧠👀❤☮,63,40.2853013,-76.9358463,#feelthebern
