Screen_Name,User_Name,Tweet_Text,Hashtags,Tweet_Created_At,Favorite_Count,Retweet_Count,Tweet_URL,lat,long,keyword
glorifing,❤️ ✝️ ✊🏽 Laurie Reynolds 🇺🇸 🌎🐶🦒🦍🦁🐻🐟⛰♻️🆘,Hey @realDonaldTrump  if you are INNOCENT please allow the witnesses with first hand testimony to testify to EXONER… https://t.co/B8G7WkRUnN,[],2019-11-17 15:57:58,1,0,"[{'url': 'https://t.co/B8G7WkRUnN', 'expanded_url': 'https://twitter.com/i/web/status/1196215938246332416', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",32.7174209,-117.1627714,#trump
philipenemer,Philip Nemer,It is obvious that Trump is #unfit both #physically and #mentally.  No surprises here.  #Trump.… https://t.co/S7Z8U2Duiu,"[{'text': 'unfit', 'indices': [28, 34]}, {'text': 'physically', 'indices': [40, 51]}, {'text': 'mentally', 'indices': [56, 65]}, {'text': 'Trump', 'indices': [88, 94]}]",2019-11-17 15:57:56,0,0,"[{'url': 'https://t.co/S7Z8U2Duiu', 'expanded_url': 'https://twitter.com/i/web/status/1196215929178222593', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [97, 120]}]",43.9792797,-120.737257,#trump
politcalcupcake,Politcalcupcake,#Biden2020 #JoeBiden #Obama #Corruption #CorruptDemocrats #DemocratsAreDestroyingAmerica #NancyPelosi #AdamSchiff… https://t.co/TWKm93fLXu,"[{'text': 'Biden2020', 'indices': [0, 10]}, {'text': 'JoeBiden', 'indices': [11, 20]}, {'text': 'Obama', 'indices': [21, 27]}, {'text': 'Corruption', 'indices': [28, 39]}, {'text': 'CorruptDemocrats', 'indices': [40, 57]}, {'text': 'DemocratsAreDestroyingAmerica', 'indices': [58, 88]}, {'text': 'NancyPelosi', 'indices': [89, 101]}, {'text': 'AdamSchiff', 'indices': [102, 113]}]",2019-11-17 15:57:04,0,0,"[{'url': 'https://t.co/TWKm93fLXu', 'expanded_url': 'https://twitter.com/i/web/status/1196215710168412160', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]",39.7837304,-100.4458825,#trump
Dobronyi,Dobronyi A. Selman,"#MAGA #Trump2020 #KAG #KAG2020 #WeThePeople
ICYMI ~ Nov 17, 2016
#TRUMP - The Great Victory
https://t.co/6pJP4A2HiJ","[{'text': 'MAGA', 'indices': [0, 5]}, {'text': 'Trump2020', 'indices': [6, 16]}, {'text': 'KAG', 'indices': [17, 21]}, {'text': 'KAG2020', 'indices': [22, 30]}, {'text': 'WeThePeople', 'indices': [31, 43]}, {'text': 'TRUMP', 'indices': [65, 71]}]",2019-11-17 15:56:55,2,1,"[{'url': 'https://t.co/6pJP4A2HiJ', 'expanded_url': 'https://www.youtube.com/watch?v=7HDCn3gE-Dk', 'display_url': 'youtube.com/watch?v=7HDCn3…', 'indices': [92, 115]}]",33.7490987,-84.3901849,#trump
GETAnalysis,GETAnalysis.ca,GETAnalysis: Another #CriminallyIndicated @POTUS #Trump adviser #DeputyCampaignManager #RickGates to be sentenced… https://t.co/EpJJ0VroU4,"[{'text': 'CriminallyIndicated', 'indices': [21, 41]}, {'text': 'Trump', 'indices': [49, 55]}, {'text': 'DeputyCampaignManager', 'indices': [64, 86]}, {'text': 'RickGates', 'indices': [87, 97]}]",2019-11-17 15:56:48,1,2,"[{'url': 'https://t.co/EpJJ0VroU4', 'expanded_url': 'https://twitter.com/i/web/status/1196215641180651520', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]",43.7283874,-79.3491488,#trump
GETAnalysis,GETAnalysis.ca,#People that object to #Trump's #illegal #acts are labelled #NeverTrumpers - people who find no fault with #Trump's… https://t.co/PhZ40CfeXP,"[{'text': 'People', 'indices': [0, 7]}, {'text': 'Trump', 'indices': [23, 29]}, {'text': 'illegal', 'indices': [32, 40]}, {'text': 'acts', 'indices': [41, 46]}, {'text': 'NeverTrumpers', 'indices': [60, 74]}, {'text': 'Trump', 'indices': [107, 113]}]",2019-11-18 15:48:25,1,2,"[{'url': 'https://t.co/PhZ40CfeXP', 'expanded_url': 'https://twitter.com/i/web/status/1196575920502583297', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",43.7283874,-79.3491488,#trump
GETAnalysis,GETAnalysis.ca,Another one of #Trump's 'best people' looking for a quick #exit #Pompeo https://t.co/k49mThdAtl,"[{'text': 'Trump', 'indices': [15, 21]}, {'text': 'exit', 'indices': [58, 63]}, {'text': 'Pompeo', 'indices': [64, 71]}]",2019-11-22 15:58:47,1,1,"[{'url': 'https://t.co/k49mThdAtl', 'expanded_url': 'https://www.reuters.com/article/us-usa-election-trump-pompeo/trump-acknowledges-pompeo-could-run-for-u-s-senate-idUSKBN1XW21H', 'display_url': 'reuters.com/article/us-usa…', 'indices': [72, 95]}]",43.7283874,-79.3491488,#trump
statevsus,State vs Us Magazine,"Their parents should've been swallowed by their animals 🤬
#StateVsUsMag #blackhistory #racialinjustice #racism… https://t.co/LV6R9bWjmR","[{'text': 'StateVsUsMag', 'indices': [58, 71]}, {'text': 'blackhistory', 'indices': [72, 85]}, {'text': 'racialinjustice', 'indices': [86, 102]}, {'text': 'racism', 'indices': [103, 110]}]",2019-11-17 15:56:47,0,0,"[{'url': 'https://t.co/LV6R9bWjmR', 'expanded_url': 'https://twitter.com/i/web/status/1196215639746199552', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]",39.2908816,-76.610759,#trump
ChadRath,Chad Rath,"@realDonaldTrump You got jacked huh, but remember it doesn't matter at the end of the day, because
 You still confe… https://t.co/NRsZI8H6mG",[],2019-11-20 15:55:45,0,0,"[{'url': 'https://t.co/NRsZI8H6mG', 'expanded_url': 'https://twitter.com/i/web/status/1197302543774343169', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.2908816,-76.610759,#trump
MargBeckwith,MargaretKerrBeckwith,Democratic House Speaker #NancyPelosi invited #Trump to #testify in front of investigators in the House… https://t.co/hvKEiYJxx6,"[{'text': 'NancyPelosi', 'indices': [25, 37]}, {'text': 'Trump', 'indices': [46, 52]}, {'text': 'testify', 'indices': [56, 64]}]",2019-11-17 15:56:33,0,0,"[{'url': 'https://t.co/hvKEiYJxx6', 'expanded_url': 'https://twitter.com/i/web/status/1196215580224872448', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [105, 128]}]",38.4758406,-80.8408415,#trump
